Fornecedor,Descrição,Preço,Código
SUKHAVATI,Abóbora orgânica madura 1kg (0ferta da colheita),"3,00",1
SUKHAVATI,Alcachofra orgânica flor unidade,"6,00",2
SUKHAVATI,Alecrim canforado maço,"3,00",3
SUKHAVATI,Alface americana unidade,"3,00",4
SUKHAVATI,Alface Canadense rôxa orgânica maço,"3,00",5
SUKHAVATI,Alface crespa roxa orgânica unidade,"3,00",6
SUKHAVATI,Alface crespa verde unidade,"3,00",7
SUKHAVATI,Alface lisa orgânica unidade,"3,00",8
SUKHAVATI,Alface mimosa roxa orgânica unidade,"3,00",9
SUKHAVATI,Alho porro orgânico unidade,"3,00",10
SUKHAVATI,Almeirão spadona orgânica maço,"3,00",11
SUKHAVATI,Azedinha orgânica maço,"3,00",12
SUKHAVATI,Beldroega orgânica maço,"3,00",13
SUKHAVATI,Berinjela 500g,"5,00",14
SUKHAVATI,Capiçoba orgânica - maço,"3,00",15
SUKHAVATI,Cebola rôxa orgânica- 1kg,"8,00",16
SUKHAVATI,Cebolinha orgânica maço,"3,00",17
SUKHAVATI,Chuchu orgânica 1kg,"4,00",18
SUKHAVATI,Coentro orgânico folha maço,"3,00",19
SUKHAVATI,Couve chinesa orgânica unidade,"3,00",20
SUKHAVATI,Couve flor orgânica unidade,"6,00",21
SUKHAVATI,Couve manteiga orgânica maço,"3,00",22
SUKHAVATI,Ervilha torta 250gr,"4,50",23
SUKHAVATI,Escarola orgânica unidade,"3,00",24
SUKHAVATI,Espinafre orgânica maço,"3,00",25
SUKHAVATI,Folhas de língua de vaca maço,"3,00",26
SUKHAVATI,Folhas de nabo forrageiro orgânica maço,"3,00",27
SUKHAVATI,Guasca ( picão branco) maço,"3,00",28
SUKHAVATI,Inhame comum 1kg,"5,00",29
SUKHAVATI,Inhame PANC orgânica 1kg,"4,00",30
SUKHAVATI,Limão rosa orgânico 500g,"3,00",31
SUKHAVATI,Louro orgânico maço,"3,00",32
SUKHAVATI,Mandioca orgânica 1kg,"4,00",33
SUKHAVATI,Melancia orgânica 1kg,"3,50",34
SUKHAVATI,Milho verde orgânico unidade,"1,50",35
SUKHAVATI,Moranga orgânica 1 kg,"4,00",36
SUKHAVATI,Mostarda orgânica maço,"3,00",37
SUKHAVATI,Nirá organico maço,"3,00",38
SUKHAVATI,Ora-pro-nobis orgânica maço,"3,00",39
SUKHAVATI,Pepino orgânico 1 kg,"5,00",40
SUKHAVATI,Pimenta dedo de moça orgânica 200gr,"3,00",41
SUKHAVATI,Pimentão orgânico 500gr,"4,50",42
SUKHAVATI,Pinhão 1kg,"10,00",43
SUKHAVATI,Ponkan orgânica 1 kg,"0,00",44
SUKHAVATI,Rabanete orgânica maço,"4,00",45
SUKHAVATI,Radiche orgânica maço,"3,00",46
SUKHAVATI,Repolho roxo orgânica unidade,"3,00",47
SUKHAVATI,Repolho verde orgânica unidade,"3,00",48
SUKHAVATI,Rúcula orgânica maço,"3,00",49
SUKHAVATI,Salsinha maço,"3,00",50
SUKHAVATI,Taioba orgânica maço,"3,00",51
SUKHAVATI,Tomate orgânico- 500g,"4,50",52
SUKHAVATI,Tomilho orgânica maço,"3,00",53
SUKHAVATI,Vagem larga maço,"3,00",54
SUKHAVATI,Vagem macarrão de metro orgânica 250g,"3,00",55
SUKHAVATI,Batata doce 1 kg," 6,00",56
SUKHAVATI,Batata salsa 500g," 5,00",57
ANDREA,Farinha de trigo orgânica branca 1 kg,"6,50",58
ANDREA,Farinha de trigo orgânica integral 1kg,"6,50",59
ANDREA,Fécula de mandioca orgânica 1kg,"7,80",60
ANDREA,Grão de bico orgânico 500gr.,"10,00",61
CIRINEU,Mel caipira 1kg,"26,00",62
CIRINEU,Mel caipira 500gr,"17,00",63
COOPERAFLORESTA,Cúrcuma orgânica Fresca (açafrão da terra) 100 gr,"2,50",64
